experiment_name,fold,status,start_time_utc,end_time_utc,duration_minutes,model,model_revision,method,balancing,train_file,validation_file,test_file,train_total,train_trace,train_no_trace,validation_total,validation_trace,validation_no_trace,test_total,test_trace,test_no_trace,output_dir,best_model_dir,metrics_file,predictions_file,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,confusion_matrix,notes
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_01,completed,2026-09-17T10:56:18.060401+00:00,2026-09-17T11:10:56.558293+00:00,14.642,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/validation.jsonl,gemma_traceability/data/folds/fold_01/test.jsonl,1528,613,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_01,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_01/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_01/fold_01_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_01/fold_01_predictions.csv,0.9312169312169312,0.92,0.9078947368421053,0.9139072847682119,0.9385964912280702,0.9469026548672567,0.9427312775330396,189,0,"[[69, 7], [6, 107]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_02,completed,2026-09-17T11:15:15.820167+00:00,2026-09-17T11:29:59.868176+00:00,14.734,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/validation.jsonl,gemma_traceability/data/folds/fold_02/test.jsonl,1528,613,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_02,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_02/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_02/fold_02_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_02/fold_02_predictions.csv,0.9629629629629629,0.9367088607594937,0.9736842105263158,0.9548387096774194,0.9818181818181818,0.9557522123893806,0.968609865470852,189,0,"[[74, 2], [5, 108]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_03,completed,2026-09-17T11:29:59.869441+00:00,2026-09-17T11:44:44.497051+00:00,14.744,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/validation.jsonl,gemma_traceability/data/folds/fold_03/test.jsonl,1528,613,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_03,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_03/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_03/fold_03_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_03/fold_03_predictions.csv,0.8624338624338624,0.890625,0.75,0.8142857142857143,0.848,0.9380530973451328,0.8907563025210085,189,0,"[[57, 19], [7, 106]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_04,completed,2026-09-17T11:44:44.498443+00:00,2026-09-17T11:59:27.813368+00:00,14.722,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/validation.jsonl,gemma_traceability/data/folds/fold_04/test.jsonl,1528,613,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_04,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_04/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_04/fold_04_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_04/fold_04_predictions.csv,0.9259259259259259,0.8780487804878049,0.9473684210526315,0.9113924050632911,0.9626168224299065,0.911504424778761,0.9363636363636364,189,0,"[[72, 4], [10, 103]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_05,completed,2026-09-17T11:59:27.814737+00:00,2026-09-17T12:14:12.261679+00:00,14.741,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/validation.jsonl,gemma_traceability/data/folds/fold_05/test.jsonl,1528,613,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_05,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_05/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_05/fold_05_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_05/fold_05_predictions.csv,0.9047619047619048,0.9393939393939394,0.8157894736842105,0.8732394366197183,0.8861788617886179,0.9646017699115044,0.923728813559322,189,0,"[[62, 14], [4, 109]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_06,completed,2026-09-17T12:14:12.263119+00:00,2026-09-17T12:28:56.285718+00:00,14.734,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/validation.jsonl,gemma_traceability/data/folds/fold_06/test.jsonl,1528,613,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_06,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_06/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_06/fold_06_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_06/fold_06_predictions.csv,0.9417989417989417,0.9452054794520548,0.9078947368421053,0.9261744966442953,0.9396551724137931,0.9646017699115044,0.9519650655021834,189,0,"[[69, 7], [4, 109]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_07,completed,2026-09-17T12:28:56.287174+00:00,2026-09-17T12:43:42.134371+00:00,14.764,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/validation.jsonl,gemma_traceability/data/folds/fold_07/test.jsonl,1528,613,915,170,68,102,189,76,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_07,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_07/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_07/fold_07_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_07/fold_07_predictions.csv,0.8888888888888888,0.9365079365079365,0.7763157894736842,0.8489208633093526,0.8650793650793651,0.9646017699115044,0.9121338912133892,189,0,"[[59, 17], [4, 109]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_08,completed,2026-09-17T12:43:42.135805+00:00,2026-09-17T12:58:29.039695+00:00,14.782,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/validation.jsonl,gemma_traceability/data/folds/fold_08/test.jsonl,1529,614,915,170,68,102,188,75,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_08,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_08/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_08/fold_08_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_08/fold_08_predictions.csv,0.9468085106382979,0.9452054794520548,0.92,0.9324324324324325,0.9478260869565217,0.9646017699115044,0.956140350877193,188,0,"[[69, 6], [4, 109]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_09,completed,2026-09-17T12:58:29.041163+00:00,2026-09-17T13:13:16.445046+00:00,14.79,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/validation.jsonl,gemma_traceability/data/folds/fold_09/test.jsonl,1529,614,915,170,68,102,188,75,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_09,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_09/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_09/fold_09_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_09/fold_09_predictions.csv,0.9521276595744681,0.9852941176470589,0.8933333333333333,0.9370629370629371,0.9333333333333333,0.9911504424778761,0.9613733905579399,188,0,"[[67, 8], [1, 112]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Gemma 2 9B QLoRA original imbalanced 10-fold CV,fold_10,completed,2026-09-17T13:13:16.446498+00:00,2026-09-17T13:28:01.677103+00:00,14.754,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/validation.jsonl,gemma_traceability/data/folds/fold_10/test.jsonl,1529,614,915,170,68,102,188,75,113,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_10,gemma_traceability/outputs/gemma_2_9b_qlora_unbalanced/fold_10/best_model,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_10/fold_10_metrics.json,gemma_traceability/results/gemma_2_9b_qlora_unbalanced/fold_10/fold_10_predictions.csv,0.8776595744680851,0.8611111111111112,0.8266666666666667,0.8435374149659864,0.8879310344827587,0.911504424778761,0.8995633187772926,188,0,"[[62, 13], [10, 103]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
