experiment_name,fold,status,start_time_utc,end_time_utc,duration_minutes,model,model_revision,method,balancing,train_file,validation_file,test_file,train_total,train_trace,train_no_trace,validation_total,validation_trace,validation_no_trace,test_total,test_trace,test_no_trace,output_dir,best_model_dir,metrics_file,predictions_file,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,confusion_matrix,notes
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_01,completed,2026-09-15T18:31:02.623659+00:00,2026-09-15T18:43:54.639504+00:00,12.867,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/validation.jsonl,mistral_traceability/data/folds/fold_01/test.jsonl,1830,915,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_01,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_01/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_01/fold_01_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_01/fold_01_predictions.csv,0.6684782608695652,0.5546218487394958,0.8918918918918919,0.6839378238341969,0.8769230769230769,0.5181818181818182,0.6514285714285715,184,5,"[[66, 8], [53, 57]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_02,completed,2026-09-15T18:43:54.640599+00:00,2026-09-15T18:56:47.685993+00:00,12.884,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/validation.jsonl,mistral_traceability/data/folds/fold_02/test.jsonl,1830,915,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_02,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_02/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_02/fold_02_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_02/fold_02_predictions.csv,0.7127659574468085,0.6833333333333333,0.5394736842105263,0.6029411764705882,0.7265625,0.8303571428571429,0.775,188,1,"[[41, 35], [19, 93]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_03,completed,2026-09-15T18:56:47.687538+00:00,2026-09-15T19:09:44.616160+00:00,12.949,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/validation.jsonl,mistral_traceability/data/folds/fold_03/test.jsonl,1830,915,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_03,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_03/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_03/fold_03_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_03/fold_03_predictions.csv,0.7021276595744681,0.5833333333333334,0.9210526315789473,0.7142857142857143,0.9117647058823529,0.5535714285714286,0.6888888888888889,188,1,"[[70, 6], [50, 62]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_04,completed,2026-09-15T19:09:44.617157+00:00,2026-09-15T19:22:42.763147+00:00,12.969,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/validation.jsonl,mistral_traceability/data/folds/fold_04/test.jsonl,1830,915,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_04,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_04/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_04/fold_04_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_04/fold_04_predictions.csv,0.726775956284153,0.625,0.8108108108108109,0.7058823529411765,0.8390804597701149,0.6697247706422018,0.7448979591836735,183,6,"[[60, 14], [36, 73]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_05,completed,2026-09-15T19:22:42.764150+00:00,2026-09-15T19:35:36.636715+00:00,12.898,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/validation.jsonl,mistral_traceability/data/folds/fold_05/test.jsonl,1830,915,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_05,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_05/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_05/fold_05_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_05/fold_05_predictions.csv,0.7021276595744681,0.5909090909090909,0.8552631578947368,0.6989247311827957,0.8589743589743589,0.5982142857142857,0.7052631578947368,188,1,"[[65, 11], [45, 67]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_06,completed,2026-09-15T19:35:36.637724+00:00,2026-09-15T19:48:34.398182+00:00,12.963,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/validation.jsonl,mistral_traceability/data/folds/fold_06/test.jsonl,1830,915,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_06,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_06/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_06/fold_06_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_06/fold_06_predictions.csv,0.6861702127659575,0.5669291338582677,0.9473684210526315,0.7093596059113301,0.9344262295081968,0.5089285714285714,0.6589595375722543,188,1,"[[72, 4], [55, 57]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_07,completed,2026-09-15T19:48:34.399218+00:00,2026-09-15T20:01:34.799692+00:00,13.007,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/validation.jsonl,mistral_traceability/data/folds/fold_07/test.jsonl,1830,915,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_07,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_07/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_07/fold_07_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_07/fold_07_predictions.csv,0.7880434782608695,0.7108433734939759,0.7972972972972973,0.7515923566878981,0.8514851485148515,0.7818181818181819,0.8151658767772512,184,5,"[[59, 15], [24, 86]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_08,completed,2026-09-15T20:01:34.800715+00:00,2026-09-15T20:14:32.455800+00:00,12.961,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/validation.jsonl,mistral_traceability/data/folds/fold_08/test.jsonl,1830,915,915,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_08,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_08/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_08/fold_08_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_08/fold_08_predictions.csv,0.7333333333333333,0.6153846153846154,0.96,0.75,0.9523809523809523,0.5714285714285714,0.7142857142857143,180,8,"[[72, 3], [45, 60]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_09,completed,2026-09-15T20:14:32.456831+00:00,2026-09-15T20:27:30.393536+00:00,12.966,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/validation.jsonl,mistral_traceability/data/folds/fold_09/test.jsonl,1830,915,915,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_09,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_09/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_09/fold_09_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_09/fold_09_predictions.csv,0.7043010752688172,0.5862068965517241,0.9066666666666666,0.7120418848167539,0.9,0.5675675675675675,0.6961325966850829,186,2,"[[68, 7], [48, 63]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random oversampling 10-fold CV,fold_10,completed,2026-09-15T20:27:30.394545+00:00,2026-09-15T20:40:27.605232+00:00,12.954,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_oversampling_with_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/train_oversampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/validation.jsonl,mistral_traceability/data/folds/fold_10/test.jsonl,1830,915,915,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_10,mistral_traceability/outputs/mistral_8b_qlora_oversampling/fold_10/best_model,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_10/fold_10_metrics.json,mistral_traceability/results/mistral_8b_qlora_oversampling/fold_10/fold_10_predictions.csv,0.732620320855615,0.6086956521739131,0.9333333333333333,0.7368421052631579,0.9305555555555556,0.5982142857142857,0.7282608695652174,187,1,"[[70, 5], [45, 67]]",Frozen EXP-06 train_oversampled.jsonl; validation/test unchanged; frozen test used only after training.
