experiment_name,fold,status,start_time_utc,end_time_utc,duration_minutes,model,model_revision,method,balancing,train_file,validation_file,test_file,train_total,train_trace,train_no_trace,validation_total,validation_trace,validation_no_trace,test_total,test_trace,test_no_trace,output_dir,best_model_dir,metrics_file,predictions_file,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,confusion_matrix,notes
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_01,completed,2026-09-15T15:42:27.735515+00:00,2026-09-15T15:53:18.889695+00:00,10.853,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/validation.jsonl,mistral_traceability/data/folds/fold_01/test.jsonl,1528,613,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_01,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_01/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_01/fold_01_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_01/fold_01_predictions.csv,0.75,0.6372549019607843,0.8783783783783784,0.7386363636363636,0.8902439024390244,0.6636363636363637,0.7604166666666666,184,5,"[[65, 9], [37, 73]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_02,completed,2026-09-15T15:53:18.890743+00:00,2026-09-15T16:04:10.419083+00:00,10.859,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/validation.jsonl,mistral_traceability/data/folds/fold_02/test.jsonl,1528,613,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_02,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_02/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_02/fold_02_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_02/fold_02_predictions.csv,0.6968085106382979,0.5811965811965812,0.8947368421052632,0.7046632124352331,0.8873239436619719,0.5625,0.6885245901639344,188,1,"[[68, 8], [49, 63]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_03,completed,2026-09-15T16:04:10.420065+00:00,2026-09-15T16:15:04.323472+00:00,10.898,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/validation.jsonl,mistral_traceability/data/folds/fold_03/test.jsonl,1528,613,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_03,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_03/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_03/fold_03_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_03/fold_03_predictions.csv,0.7953216374269005,0.7605633802816901,0.75,0.7552447552447552,0.82,0.8282828282828283,0.8241206030150754,171,18,"[[54, 18], [17, 82]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_04,completed,2026-09-15T16:15:04.324455+00:00,2026-09-15T16:25:58.777564+00:00,10.908,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/validation.jsonl,mistral_traceability/data/folds/fold_04/test.jsonl,1528,613,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_04,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_04/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_04/fold_04_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_04/fold_04_predictions.csv,0.7606382978723404,0.7777777777777778,0.56,0.6511627906976745,0.753731343283582,0.8938053097345132,0.8178137651821862,188,1,"[[42, 33], [12, 101]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_05,completed,2026-09-15T16:25:58.778566+00:00,2026-09-15T16:36:52.994806+00:00,10.904,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/validation.jsonl,mistral_traceability/data/folds/fold_05/test.jsonl,1528,613,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_05,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_05/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_05/fold_05_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_05/fold_05_predictions.csv,0.6772486772486772,0.631578947368421,0.47368421052631576,0.5413533834586466,0.696969696969697,0.8141592920353983,0.7510204081632653,189,0,"[[36, 40], [21, 92]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_06,completed,2026-09-15T16:36:52.995803+00:00,2026-09-15T16:47:49.226624+00:00,10.937,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/validation.jsonl,mistral_traceability/data/folds/fold_06/test.jsonl,1528,613,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_06,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_06/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_06/fold_06_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_06/fold_06_predictions.csv,0.7570621468926554,0.7818181818181819,0.581081081081081,0.6666666666666666,0.7459016393442623,0.883495145631068,0.8088888888888889,177,12,"[[43, 31], [12, 91]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_07,completed,2026-09-15T16:47:49.227618+00:00,2026-09-15T16:58:45.341309+00:00,10.935,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/validation.jsonl,mistral_traceability/data/folds/fold_07/test.jsonl,1528,613,915,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_07,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_07/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_07/fold_07_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_07/fold_07_predictions.csv,0.7754010695187166,0.6847826086956522,0.8289473684210527,0.75,0.8631578947368421,0.7387387387387387,0.7961165048543689,187,2,"[[63, 13], [29, 82]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_08,completed,2026-09-15T16:58:45.342332+00:00,2026-09-15T17:09:37.702729+00:00,10.873,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/validation.jsonl,mistral_traceability/data/folds/fold_08/test.jsonl,1529,614,915,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_08,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_08/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_08/fold_08_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_08/fold_08_predictions.csv,0.7700534759358288,0.6403508771929824,0.9733333333333334,0.7724867724867724,0.9726027397260274,0.6339285714285714,0.7675675675675676,187,1,"[[73, 2], [41, 71]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_09,completed,2026-09-15T17:09:37.703728+00:00,2026-09-15T17:20:31.291312+00:00,10.893,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/validation.jsonl,mistral_traceability/data/folds/fold_09/test.jsonl,1529,614,915,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_09,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_09/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_09/fold_09_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_09/fold_09_predictions.csv,0.6521739130434783,0.6774193548387096,0.28,0.39622641509433965,0.6470588235294118,0.908256880733945,0.7557251908396947,184,4,"[[21, 54], [10, 99]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
Ministral 3 8B QLoRA original imbalanced 10-fold CV,fold_10,completed,2026-09-15T17:20:31.292308+00:00,2026-09-15T17:31:22.931931+00:00,10.861,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,none_original_imbalanced_inner_train,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/inner_train.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/validation.jsonl,mistral_traceability/data/folds/fold_10/test.jsonl,1529,614,915,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_10,mistral_traceability/outputs/mistral_8b_qlora_unbalanced/fold_10/best_model,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_10/fold_10_metrics.json,mistral_traceability/results/mistral_8b_qlora_unbalanced/fold_10/fold_10_predictions.csv,0.7688172043010753,0.686046511627907,0.7866666666666666,0.7329192546583851,0.84,0.7567567567567568,0.7962085308056872,186,2,"[[59, 16], [27, 84]]",Original imbalanced inner_train.jsonl; no over/undersampling; frozen test used only after training.
