experiment_name,fold,status,start_time_utc,end_time_utc,duration_minutes,model,model_revision,method,balancing,train_file,validation_file,test_file,train_total,train_trace,train_no_trace,validation_total,validation_trace,validation_no_trace,test_total,test_trace,test_no_trace,output_dir,best_model_dir,metrics_file,predictions_file,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,confusion_matrix,notes
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_01,completed,2026-09-16T11:39:46.388013+00:00,2026-09-16T11:48:39.423230+00:00,8.884,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_01/validation.jsonl,mistral_traceability/data/folds/fold_01/test.jsonl,1226,613,613,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_01,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_01/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_01/fold_01_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_01/fold_01_predictions.csv,0.7135135135135136,0.5964912280701754,0.9066666666666666,0.7195767195767195,0.9014084507042254,0.5818181818181818,0.7071823204419889,185,4,"[[68, 7], [46, 64]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_02,completed,2026-09-16T11:48:39.424287+00:00,2026-09-16T11:57:33.901946+00:00,8.908,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_02/validation.jsonl,mistral_traceability/data/folds/fold_02/test.jsonl,1226,613,613,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_02,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_02/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_02/fold_02_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_02/fold_02_predictions.csv,0.7074468085106383,0.5943396226415094,0.84,0.6961325966850829,0.8536585365853658,0.6194690265486725,0.717948717948718,188,1,"[[63, 12], [43, 70]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_03,completed,2026-09-16T11:57:33.902932+00:00,2026-09-16T12:06:27.028761+00:00,8.885,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_03/validation.jsonl,mistral_traceability/data/folds/fold_03/test.jsonl,1226,613,613,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_03,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_03/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_03/fold_03_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_03/fold_03_predictions.csv,0.6507936507936508,0.5367647058823529,0.9605263157894737,0.6886792452830188,0.9433962264150944,0.4424778761061947,0.6024096385542169,189,0,"[[73, 3], [63, 50]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_04,completed,2026-09-16T12:06:27.029763+00:00,2026-09-16T12:15:21.893279+00:00,8.914,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_04/validation.jsonl,mistral_traceability/data/folds/fold_04/test.jsonl,1226,613,613,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_04,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_04/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_04/fold_04_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_04/fold_04_predictions.csv,0.6774193548387096,0.5630252100840336,0.8933333333333333,0.6907216494845361,0.8805970149253731,0.5315315315315315,0.6629213483146067,186,3,"[[67, 8], [52, 59]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_05,completed,2026-09-16T12:15:21.894315+00:00,2026-09-16T12:24:19.490134+00:00,8.96,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_05/validation.jsonl,mistral_traceability/data/folds/fold_05/test.jsonl,1226,613,613,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_05,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_05/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_05/fold_05_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_05/fold_05_predictions.csv,0.7005347593582888,0.6020408163265306,0.7763157894736842,0.6781609195402298,0.8089887640449438,0.6486486486486487,0.72,187,2,"[[59, 17], [39, 72]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_06,completed,2026-09-16T12:24:19.491116+00:00,2026-09-16T12:33:18.447523+00:00,8.983,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_06/validation.jsonl,mistral_traceability/data/folds/fold_06/test.jsonl,1226,613,613,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_06,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_06/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_06/fold_06_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_06/fold_06_predictions.csv,0.6595744680851063,0.5576923076923077,0.7631578947368421,0.6444444444444445,0.7857142857142857,0.5892857142857143,0.673469387755102,188,1,"[[58, 18], [46, 66]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_07,completed,2026-09-16T12:33:18.448520+00:00,2026-09-16T12:42:14.582247+00:00,8.936,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_07/validation.jsonl,mistral_traceability/data/folds/fold_07/test.jsonl,1226,613,613,170,68,102,189,76,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_07,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_07/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_07/fold_07_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_07/fold_07_predictions.csv,0.6648648648648648,0.546875,0.9459459459459459,0.693069306930693,0.9298245614035088,0.4774774774774775,0.6309523809523809,185,4,"[[70, 4], [58, 53]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_08,completed,2026-09-16T12:42:14.583251+00:00,2026-09-16T12:51:12.448445+00:00,8.964,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_08/validation.jsonl,mistral_traceability/data/folds/fold_08/test.jsonl,1228,614,614,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_08,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_08/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_08/fold_08_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_08/fold_08_predictions.csv,0.776536312849162,0.6781609195402298,0.8309859154929577,0.7468354430379747,0.8695652173913043,0.7407407407407407,0.8,179,9,"[[59, 12], [28, 80]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_09,completed,2026-09-16T12:51:12.449434+00:00,2026-09-16T13:00:11.431691+00:00,8.983,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_09/validation.jsonl,mistral_traceability/data/folds/fold_09/test.jsonl,1228,614,614,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_09,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_09/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_09/fold_09_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_09/fold_09_predictions.csv,0.7058823529411765,0.5819672131147541,0.9466666666666667,0.7208121827411168,0.9384615384615385,0.5446428571428571,0.6892655367231638,187,1,"[[71, 4], [51, 61]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
Ministral 3 8B QLoRA random undersampling 10-fold CV,fold_10,completed,2026-09-16T13:00:11.432723+00:00,2026-09-16T13:09:09.893343+00:00,8.974,mistralai/Ministral-3-8B-Instruct-2512-BF16,f6fae9795746f63c9be8344932f01275f3c63734,QLoRA,random_undersampling_without_replacement,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/train_undersampled.jsonl,data/qwen35_oversampling_10fold_cv/inner_splits/fold_10/validation.jsonl,mistral_traceability/data/folds/fold_10/test.jsonl,1228,614,614,170,68,102,188,75,113,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_10,mistral_traceability/outputs/mistral_8b_qlora_undersampling/fold_10/best_model,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_10/fold_10_metrics.json,mistral_traceability/results/mistral_8b_qlora_undersampling/fold_10/fold_10_predictions.csv,0.7712765957446809,0.6509433962264151,0.92,0.7624309392265194,0.926829268292683,0.672566371681416,0.7794871794871795,188,0,"[[69, 6], [37, 76]]",Frozen EXP-07 train_undersampled.jsonl; validation/test unchanged; frozen test used only after training.
