experiment_id,experiment_name,fold,status,start_time_utc,end_time_utc,duration_minutes,model,method,balancing,training_target,template_strategy,train_file,validation_file,test_file,config_file,resolved_config_file,output_dir,best_model_dir,metrics_file,predictions_file,train_total,train_trace,train_no_trace,validation_total,validation_trace,validation_no_trace,test_total,test_trace,test_no_trace,accuracy,macro_f1,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,format_valid_rate,rationale_present_rate,notes
EXP-17,Qwen3.5 Label + Rationale,fold_01,evaluation_completed,2026-07-29T15:09:13.881973+00:00,2026-07-29T15:34:23.617994+00:00,25.1623,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_01/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_01/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_01/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_01/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_01,results/exp17_qwen35_9b_rationale_single_template/fold_01/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_01/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_01/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.8941798941798942,0.8889541715628673,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.8974358974358975,0.9292035398230089,0.9130434782608695,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.9424435665659527; best_validation_loss=0.6639467508767496 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_02,evaluation_completed,2026-07-29T16:02:02.932542+00:00,2026-07-29T16:27:13.576374+00:00,25.1774,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_02/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_02/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_02/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_02/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_02,results/exp17_qwen35_9b_rationale_single_template/fold_02/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_02/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_02/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.8994708994708994,0.8947568945810498,0.8904109589041096,0.8552631578947368,0.8724832214765101,0.9051724137931034,0.9292035398230089,0.9170305676855894,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.9434162148624898; best_validation_loss=0.6644473599422123 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_03,evaluation_completed,2026-07-29T16:35:53.537422+00:00,2026-07-29T17:01:05.444610+00:00,25.1985,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_03/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_03/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_03/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_03/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_03,results/exp17_qwen35_9b_rationale_single_template/fold_03/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_03/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_03/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.8783068783068783,0.8719851576994435,0.8732394366197183,0.8157894736842105,0.8435374149659864,0.8813559322033898,0.9203539823008849,0.9004329004329005,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.04581047362759; best_validation_loss=0.7157940306031806 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_04,evaluation_completed,2026-07-29T17:09:51.285511+00:00,2026-07-29T17:35:01.416107+00:00,25.1688,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_04/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_04/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_04/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_04/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_04,results/exp17_qwen35_9b_rationale_single_template/fold_04/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_04/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_04/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.91005291005291,0.9066666666666666,0.8831168831168831,0.8947368421052632,0.8888888888888888,0.9285714285714286,0.9203539823008849,0.9244444444444444,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.9578164131674922; best_validation_loss=0.6718297772851218 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_05,evaluation_completed,2026-07-29T17:43:48.762968+00:00,2026-07-29T18:08:59.203750+00:00,25.1740,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_05/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_05/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_05/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_05/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_05,results/exp17_qwen35_9b_rationale_single_template/fold_05/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_05/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_05/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.9259259259259259,0.921474358974359,0.9558823529411765,0.8552631578947368,0.9027777777777778,0.9090909090909091,0.9734513274336283,0.9401709401709402,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.987343261723336; best_validation_loss=0.6867987024105824 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_06,evaluation_completed,2026-07-29T18:17:50.184382+00:00,2026-07-29T18:42:55.462852+00:00,25.0880,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_06/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_06/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_06/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_06/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_06,results/exp17_qwen35_9b_rationale_single_template/fold_06/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_06/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_06/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.9312169312169312,0.927991559450192,0.9315068493150684,0.8947368421052632,0.912751677852349,0.9310344827586207,0.9557522123893806,0.943231441048035,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.9966805725365353; best_validation_loss=0.6914860879775011 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_07,evaluation_completed,2026-07-29T18:51:47.587429+00:00,2026-07-29T19:16:58.780498+00:00,25.1866,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_07/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_07/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_07/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_07/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_07,results/exp17_qwen35_9b_rationale_single_template/fold_07/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_07/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_07/test_predictions.jsonl,1528,613,915,170,68,102,189,76,113,0.873015873015873,0.8679552864462039,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8938053097345132,0.8938053097345132,0.8938053097345132,189,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.0094363635315373; best_validation_loss=0.6978542665935592 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_08,evaluation_completed,2026-07-29T19:25:41.204990+00:00,2026-07-29T19:50:48.039798+00:00,25.1139,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_08/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_08/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_08/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_08/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_08,results/exp17_qwen35_9b_rationale_single_template/fold_08/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_08/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_08/test_predictions.jsonl,1529,614,915,170,68,102,188,75,113,0.9148936170212766,0.9116541353383458,0.8831168831168831,0.9066666666666666,0.894736842105263,0.9369369369369369,0.9203539823008849,0.9285714285714286,188,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.004660761681658; best_validation_loss=0.695474850274497 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_09,evaluation_completed,2026-07-29T19:59:29.276398+00:00,2026-07-29T20:24:32.084079+00:00,25.0468,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_09/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_09/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_09/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_09/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_09,results/exp17_qwen35_9b_rationale_single_template/fold_09/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_09/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_09/test_predictions.jsonl,1529,614,915,170,68,102,188,75,113,0.8776595744680851,0.8702241964044539,0.8823529411764706,0.8,0.8391608391608392,0.875,0.9292035398230089,0.9012875536480688,188,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=1.981255719615072; best_validation_loss=0.6837308455112473 Test evaluation completed.
EXP-17,Qwen3.5 Label + Rationale,fold_10,evaluation_completed,2026-07-29T20:33:10.997288+00:00,2026-07-29T20:58:12.139240+00:00,25.0190,Qwen/Qwen3.5-9B,QLoRA,none_original_imbalanced,label_and_rationale,single_template,data/exp17_qwen35_9b_rationale_single_template/folds/fold_10/train.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_10/validation.jsonl,data/exp17_qwen35_9b_rationale_single_template/folds/fold_10/test.jsonl,configs/exp17/config_qwen35_9b_exp17.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_10/resolved_config.yaml,results/exp17_qwen35_9b_rationale_single_template/fold_10,results/exp17_qwen35_9b_rationale_single_template/fold_10/best_model,results/exp17_qwen35_9b_rationale_single_template/fold_10/classification_metrics.json,results/exp17_qwen35_9b_rationale_single_template/fold_10/test_predictions.jsonl,1529,614,915,170,68,102,188,75,113,0.8882978723404256,0.8837969094922737,0.8552631578947368,0.8666666666666667,0.8609271523178809,0.9107142857142857,0.9026548672566371,0.9066666666666666,188,0,1.0,1.0,Training completed successfully.; best_validation_perplexity=2.018058959969299; best_validation_loss=0.7021361385359752 Test evaluation completed.
