method,run,seed,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,total_records,confusion_matrix
zero_shot,0,42,0.51,1.0,0.02,0.0392156862745098,0.5050505050505051,1.0,0.6711409395973155,100,0,100,"[[1, 49], [0, 50]]"
five_shot,1,1,0.7,0.9545454545454546,0.42,0.5833333333333334,0.6282051282051282,0.98,0.765625,100,0,100,"[[21, 29], [1, 49]]"
ten_shot,1,1,0.71,1.0,0.42,0.5915492957746479,0.6329113924050633,1.0,0.7751937984496124,100,0,100,"[[21, 29], [0, 50]]"
five_shot,2,2,0.75,0.9629629629629629,0.52,0.6753246753246753,0.6712328767123288,0.98,0.7967479674796748,100,0,100,"[[26, 24], [1, 49]]"
ten_shot,2,2,0.72,1.0,0.44,0.6111111111111112,0.6410256410256411,1.0,0.78125,100,0,100,"[[22, 28], [0, 50]]"
five_shot,3,3,0.76,1.0,0.52,0.6842105263157895,0.6756756756756757,1.0,0.8064516129032258,100,0,100,"[[26, 24], [0, 50]]"
ten_shot,3,3,0.67,1.0,0.34,0.5074626865671642,0.6024096385542169,1.0,0.7518796992481203,100,0,100,"[[17, 33], [0, 50]]"
five_shot,4,4,0.69,1.0,0.38,0.5507246376811594,0.6172839506172839,1.0,0.7633587786259542,100,0,100,"[[19, 31], [0, 50]]"
ten_shot,4,4,0.67,1.0,0.34,0.5074626865671642,0.6024096385542169,1.0,0.7518796992481203,100,0,100,"[[17, 33], [0, 50]]"
five_shot,5,5,0.79,0.967741935483871,0.6,0.7407407407407407,0.7101449275362319,0.98,0.8235294117647058,100,0,100,"[[30, 20], [1, 49]]"
ten_shot,5,5,0.77,0.9655172413793104,0.56,0.7088607594936709,0.6901408450704225,0.98,0.8099173553719008,100,0,100,"[[28, 22], [1, 49]]"
five_shot,6,6,0.71,1.0,0.42,0.5915492957746479,0.6329113924050633,1.0,0.7751937984496124,100,0,100,"[[21, 29], [0, 50]]"
ten_shot,6,6,0.74,1.0,0.48,0.6486486486486487,0.6578947368421053,1.0,0.7936507936507936,100,0,100,"[[24, 26], [0, 50]]"
five_shot,7,7,0.82,1.0,0.64,0.7804878048780488,0.7352941176470589,1.0,0.847457627118644,100,0,100,"[[32, 18], [0, 50]]"
ten_shot,7,7,0.71,0.9565217391304348,0.44,0.6027397260273972,0.6363636363636364,0.98,0.7716535433070866,100,0,100,"[[22, 28], [1, 49]]"
five_shot,8,8,0.85,1.0,0.7,0.8235294117647058,0.7692307692307693,1.0,0.8695652173913043,100,0,100,"[[35, 15], [0, 50]]"
ten_shot,8,8,0.71,1.0,0.42,0.5915492957746479,0.6329113924050633,1.0,0.7751937984496124,100,0,100,"[[21, 29], [0, 50]]"
five_shot,9,9,0.76,0.9642857142857143,0.54,0.6923076923076923,0.6805555555555556,0.98,0.8032786885245902,100,0,100,"[[27, 23], [1, 49]]"
ten_shot,9,9,0.67,1.0,0.34,0.5074626865671642,0.6024096385542169,1.0,0.7518796992481203,100,0,100,"[[17, 33], [0, 50]]"
five_shot,10,10,0.66,1.0,0.32,0.48484848484848486,0.5952380952380952,1.0,0.746268656716418,100,0,100,"[[16, 34], [0, 50]]"
ten_shot,10,10,0.73,1.0,0.46,0.6301369863013698,0.6493506493506493,1.0,0.7874015748031497,100,0,100,"[[23, 27], [0, 50]]"
