method,run,seed,accuracy,trace_precision,trace_recall,trace_f1,no_trace_precision,no_trace_recall,no_trace_f1,valid_predictions,invalid_predictions,total_records,confusion_matrix
ten_shot,1,1,0.71,1.0,0.42,0.5915492957746479,0.6329113924050633,1.0,0.7751937984496124,100,0,100,"[[21, 29], [0, 50]]"
ten_shot,2,2,0.72,1.0,0.44,0.6111111111111112,0.6410256410256411,1.0,0.78125,100,0,100,"[[22, 28], [0, 50]]"
ten_shot,3,3,0.67,1.0,0.34,0.5074626865671642,0.6024096385542169,1.0,0.7518796992481203,100,0,100,"[[17, 33], [0, 50]]"
ten_shot,4,4,0.67,1.0,0.34,0.5074626865671642,0.6024096385542169,1.0,0.7518796992481203,100,0,100,"[[17, 33], [0, 50]]"
ten_shot,5,5,0.77,0.9655172413793104,0.56,0.7088607594936709,0.6901408450704225,0.98,0.8099173553719008,100,0,100,"[[28, 22], [1, 49]]"
ten_shot,6,6,0.74,1.0,0.48,0.6486486486486487,0.6578947368421053,1.0,0.7936507936507936,100,0,100,"[[24, 26], [0, 50]]"
ten_shot,7,7,0.71,0.9565217391304348,0.44,0.6027397260273972,0.6363636363636364,0.98,0.7716535433070866,100,0,100,"[[22, 28], [1, 49]]"
ten_shot,8,8,0.71,1.0,0.42,0.5915492957746479,0.6329113924050633,1.0,0.7751937984496124,100,0,100,"[[21, 29], [0, 50]]"
ten_shot,9,9,0.67,1.0,0.34,0.5074626865671642,0.6024096385542169,1.0,0.7518796992481203,100,0,100,"[[17, 33], [0, 50]]"
ten_shot,10,10,0.73,1.0,0.46,0.6301369863013698,0.6493506493506493,1.0,0.7874015748031497,100,0,100,"[[23, 27], [0, 50]]"
